alpha,beta,z ratio,smooth ratio
135510.8214841563,34217.75963069251,-1.4148309571746962,0.4646292260706326
132367.71198311108,34236.139028646474,-1.4337651778044322,0.43232217401845857
132367.71198311108,34236.139028646474,-1.4337651778044322,0.4032458271715019
131406.676673311,34434.28400846007,-1.4438754580676478,0.37682435800266056
130012.01568924697,34439.743505262064,-1.4521601940736484,0.3528379173505533
130012.01568924697,34439.743505262064,-1.4521601940736484,0.3312501207636568
129787.47076337037,34674.80361778283,-1.4586239646531045,0.31165950957096356
129566.51271682254,34735.70379010215,-1.4612289798784268,0.29396283411690655
129262.1396970732,35104.694331675775,-1.4708797856482378,0.27779455606400993
130066.20604773622,35373.59128869997,-1.47194004360389,0.2632165993675117
130066.20604773622,35373.59128869997,-1.47194004360389,0.25009643834066325
131493.2208509934,36058.3158333598,-1.4780370654555135,0.2381358678702091
131493.2208509934,36058.3158333598,-1.4780370654555135,0.22737135444680034
133642.8661283336,36651.31349704045,-1.478107620191178,0.21768152849734085
136109.87510376977,37322.23911511627,-1.4779964097845155,0.20896346540299388
136109.87510376977,37322.23911511627,-1.4779964097845155,0.2011172086180816
139786.56569674078,38010.144165863916,-1.4718024796303182,0.1942104257655155
143051.4651151131,38664.604265412236,-1.467329172707911,0.18810615387126617
148381.38791482578,39641.16932172059,-1.458599272120248,0.18283055668113335
148381.38791482578,39641.16932172059,-1.458599272120248,0.1780825192100138
155814.0151390101,40941.83186785378,-1.4459752474317407,0.1741248861032189
164789.51346048224,42170.09206129704,-1.4254162989646666,0.17107699001878038
171609.61016992002,43359.597978061545,-1.4153198309649988,0.16858629524277738
184399.03806481263,44995.648817810164,-1.3870332847470983,0.16705183359982217
184399.03806481263,44995.648817810164,-1.3870332847470983,0.1656708181211625
199008.80092371916,47199.5632831533,-1.3632126166379002,0.16502342089309874
216424.02825135953,49306.07642157677,-1.3283262434970216,0.16531292271636333
229863.39052500218,51187.04242608511,-1.3079156455846181,0.16608373930511156
229863.39052500218,51187.04242608511,-1.3079156455846181,0.16677747423498496
251936.34069780924,53784.70473722838,-1.2689099600015978,0.16837697781144653
277320.2464067822,57092.05183925905,-1.2339856598804817,0.17068963853328983
306383.8448978318,60376.07134068422,-1.1902107572149632,0.17386540574958678
327054.81226722954,63027.68493385597,-1.1671357422311517,0.17730047161884932
327054.81226722954,63027.68493385597,-1.1671357422311517,0.1803920309011856
361773.87431851623,66836.00908076475,-1.1220253870710089,0.18430219313429183
400257.022322267,71325.33756838841,-1.0819427887989503,0.1888234041008889
427224.79205550294,74247.98962180855,-1.0532558152207958,0.19360966831028015
427224.79205550294,74247.98962180855,-1.0532558152207958,0.19791730609873226
471772.5650742526,79345.0188520388,-1.014591859736841,0.202760778995438
519683.6523340008,84454.96602354807,-0.9727566818200155,0.20816578405039382
519683.6523340008,84454.96602354807,-0.9727566818200155,0.21303028859985407
607175.4581949963,93846.64300798968,-0.9089617953619016,0.21900321485582114
607175.4581949963,93846.64300798968,-0.9089617953619016,0.2243788484861915
664469.3505852699,99996.27115505474,-0.8736720682632182,0.2300991619309919
723841.8447709837,106307.93004155524,-0.8406192111643117,0.23607376545878492
723841.8447709837,106307.93004155524,-0.8406192111643117,0.24145090863379864
830802.6291250687,117303.09603339406,-0.7854665623205666,0.24766915371240464
830802.6291250687,117303.09603339406,-0.7854665623205666,0.25326557428315
897645.9999450054,124141.5334642787,-0.7555738488409226,0.25904967063381196
